NomFrançais,NomAnglais,CAS,Classification,PourcentageDeDivulgation,Commentaire
Acétate d'isobutyle,Isobutyl acetate,110-19-0,Class B2 - Flammable liquids,"1,0%",
Acétate d'isopropyle,Isopropyl acetate,108-21-4,Class B2 - Flammable liquids,"1,0%",
Acétate mercurique,Mercuric acetate,1600-27-7,Classification not available,"0,1%",
Acétate mercurique/fluorescéine,Fluorescein mercuric acetate,3570-80-7,Classification not available,"1,0%",
Acétate monoéthylique du diéthylène glycol,Diethylene glycol monoethyl ether acetate,112-15-2,Not controlled product,Non requise,
Acétate phénylmercurique,Phenylmercuric acetate,62-38-4,Classification not available,"0,1%",
Acétate thalleux,Thallous acetate,563-68-8,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Acétoacétanilide,Acetoacetanilide,102-01-2,Not controlled product,Non requise,
Acétoacétanisidide (ortho-),o-Acetoacetaniside,92-15-9,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acétoacétate d'allyle,Allyl acetoacetate,1118-84-9,Class B3 - Combustible liquids,"1,0%",
Acétoacétate de méthyle,Methylacetoacetate,105-45-3,Classification not available,"1,0%",
Acétoaminoaniline (para-),p-Acetoaminoaniline,122-80-5,Classification not available,"1,0%",
Acétoarsenite de cuivre,Cupric acetoarsenite,12002-03-8,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Acétoarsenite de cuivre,Cupric acetoarsenite,12002-03-8,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acétoin,Acetyl methyl carbinol,513-86-0,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acétone,Acetone,67-64-1,Class B2 - Flammable liquids,"1,0%",
Acétone,Acetone,67-64-1,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acétonecyanhydrine,2-Hydroxy-2-methylpropanenitrile,75-86-5,Class B3 - Combustible liquids,"1,0%",
Acétonecyanhydrine,2-Hydroxy-2-methylpropanenitrile,75-86-5,Class D1A - Very toxic material causing immediate and serious toxic effects,"1,0%",
Acétonitrile,Acetonitrile,75-05-8,Class B2 - Flammable liquids,"0,1%",
Acétonitrile,Acetonitrile,75-05-8,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Acétonitrile,Acetonitrile,75-05-8,Class D2B - Toxic material causing other toxic effects,"0,1%",
Acétonylacétone,"2,5-Hexanedione",110-13-4,Class B3 - Combustible liquids,"1,0%",
Acétonylacétone,"2,5-Hexanedione",110-13-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acétophénone,Phenyl methyl ketone,98-86-2,Class B3 - Combustible liquids,"1,0%",
Acétophénone,Phenyl methyl ketone,98-86-2,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acétopromazine,Acepromazine,61-00-7,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Acétylacétonate de zirconium,Zirconium acetylacetonate,17501-44-9,Classification not available,"1,0%",
4-Acétylaminobiphényle,4-Acetylaminobiphenyl,4075-79-0,Classification not available,"1,0%",
Acétylène,Acetylene,74-86-2,Class A - Compressed gases,"1,0%",Veuillez consulter également la classification SIMDUT de l'acétylène dissous.
Acétylène,Acetylene,74-86-2,Class B1 - Flammable gases,"1,0%",Veuillez consulter également la classification SIMDUT de l'acétylène dissous.
Acétylène,Acetylene,74-86-2,Class F - Dangerously reactive materials,"1,0%",Veuillez consulter également la classification SIMDUT de l'acétylène dissous.
Acétylène dissous,"Acetylene, dissolved",,Class A - Compressed gases,"1,0%",Veuillez consulter également la classification SIMDUT de l'acétylène.
Acétylène dissous,"Acetylene, dissolved",,Class B1 - Flammable gases,"1,0%",Veuillez consulter également la classification SIMDUT de l'acétylène.
Acétylénure de lithium,Lithium acetylenide,1111-64-4,Class B6 - Reactive flammable materials,"1,0%",
4-Acétylrésorcinol,4-Acetylresorcinol,89-84-9,Classification not available,"1,0%",
Acétylsalicylate d'aluminium,Aluminum acetylsalicylate,23413-80-1,Not controlled product,Non requise,
Acide  phosphonique,Phosphonic acid,13598-36-2,Classification not available,"1,0%",
Acide 1-naphtylamine-6-sulfonique,1-Naphthylamine-6-sulfonic acid,119-79-9,Classification not available,"1,0%",
"Acide 2-amino-1,5-naphtalènedisulfonique","2-Amino-1,5-naphthalenedisulfonic acid",117-62-4,Classification not available,"1,0%",
Acide 2-amino-1-naphtalènesulfonique,2-Amino-1-naphthalenesulfonic acid,81-16-3,Classification not available,"1,0%",
Acide 2-amino-3-hydroxybenzoïque,2-Amino-3-hydroxybenzoic acid,54815-13-3,Classification not available,"1,0%",
Acide 2-chloro-4-nitrobenzoïque,2-Chloro-4-nitrobenzoic acid,99-60-5,Classification not available,"1,0%",
Acide 2-éthylbutyrique,2-Ethylbutyric acid,88-09-5,Classification not available,"1,0%",
"Acide 3-amino-1,5-naphtalènedisulfonique","3-Amino-1,5-naphthalenedisulfonic acid",131-27-1,Classification not available,"1,0%",
Acide 5-amino-6-éthoxy-2-naphtalènesulfonique,5-Amino-6-ethoxy-2-naphthalene-sulfonic acid,118-28-5,Classification not available,"1,0%",
"Acide 6-amino-1,3-naphtalènedisulfonique","6-Amino-1,3-naphthalenedisulfonic acid",118-33-2,Classification not available,"1,0%",
Acide abiétique,Abietic acid,514-10-3,Classification not available,"0,1%",
Acide acétique,Acetic acid,64-19-7,Class B3 - Combustible liquids,"1,0%",
Acide acétique,Acetic acid,64-19-7,Class E - Corrosive materials,"1,0%",
Acide acétique 3 à 10 %,"Acetic acid, 3 to 10 %",,Class D2B - Toxic material causing other toxic effects,Non requise,
Acide acétique 30%,Acetic acid 30%,,Class E - Corrosive materials,Non requise,
Acide acétique à plus de 80%,"Acetic acid, more than 80%",,Class B3 - Combustible liquids,Non requise,
Acide acétique à plus de 80%,"Acetic acid, more than 80%",,Class E - Corrosive materials,Non requise,
Acide acétique en solution aqueuse à plus de 10 %  jusqu'à 80 %,Acetic acid 10 to 80 %,,Class B3 - Combustible liquids,Non requise,Les données disponibles ne nous permettent pas de déterminer précisément à partir de quelle teneur ces solutions sont combustibles.
Acide acétique en solution aqueuse à plus de 10 %  jusqu'à 80 %,Acetic acid 10 to 80 %,,Class E - Corrosive materials,Non requise,Les données disponibles ne nous permettent pas de déterminer précisément à partir de quelle teneur ces solutions sont combustibles.
Acide acétylsalicylique,Acetylsalicylic acid,50-78-2,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acide aconitique (cis-),cis-Aconitic acid,585-84-2,Not controlled product,Non requise,
Acide acrylique,Acrylic acid,79-10-7,Classification not available,"1,0%",
Acide adipique,Adipic acid,124-04-9,Classification not available,"1,0%",
Acide agarique,Agaric acid,666-99-9,Not controlled product,Non requise,
Acide allantoïque,Allantoic acid,99-16-1,Not controlled product,Non requise,
Acide allylcyclopenténylbarbiturique,Allylcyclopentenylbarbital,76-68-6,Not controlled product,Non requise,
"Acide amino-2 benzènedisulfonique-1,4","2-Amino-1,4-benzenedisulfonic acid",98-44-2,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acide amino-2 butyrique (dl-),2-Aminobutanoic acid,2835-81-6,Not controlled product,Non requise,
Acide amino-3 benzoïque,3-Aminobenzoic acid,99-05-8,Not controlled product,Non requise,
"Acide amino-4 azobenzène-3,4' disulfonique","4-Aminoazobenzene-3,4'-disulfonic acid",101-50-8,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acide amino-4 benzoïque,4-Aminobenzoic acid,150-13-0,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acide amino-4 salicylique,4-Aminosalicylic acid,65-49-6,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acide amino-5 salicylique,5-Aminosalicylic acid,89-57-6,Not controlled product,Non requise,
Acide aminodiacétique,Aminodiacetic acid,142-73-4,Not controlled product,Non requise,
Acide aminonaphtol sulfonique,Aminonaphthol sulfonic acid,87-02-5,Not controlled product,Non requise,
Acide anisique (ortho-),o-Anisic acid,579-75-9,Not controlled product,Non requise,
Acide anthranilique,Anthranilic acid,118-92-3,Not controlled product,Non requise,
Acide arachidique,Arachidic acid,506-30-9,Not controlled product,Non requise,
Acide arsénique,Arsenic acid,7778-39-4,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Acide arsénique,Arsenic acid,7778-39-4,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acide ascorbique,Ascorbic acid,50-81-7,Not controlled product,Non requise,
Acide aspartique (d-),d-Aspartic acid,1783-96-6,Not controlled product,Non requise,
Acide aspartique (dl-),dl-Aspartic acid,617-45-8,Not controlled product,Non requise,
Acide aspartique (l-),l-Aspartic acid,56-84-8,Not controlled product,Non requise,
Acide barbiturique,Barbituric acid,67-52-7,Not controlled product,Non requise,
Acide benzoïque,Benzoic acid,65-85-0,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acide borique,Boric acid,10043-35-3,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acide bromo-2 caproïque,2-Bromocaproic acid,616-05-7,Not controlled product,Non requise,
Acide bromoacétique,Bromoacetic acid,79-08-3,Classification not available,"1,0%",
Acide butyrique,Butyric acid,107-92-6,Classification not available,"1,0%",
Acide chloracétique,Chloroacetic acid,79-11-8,Classification not available,"1,0%",
Acide chloranilique,Chloranilic acid,87-88-7,Not controlled product,Non requise,
Acide chlorhydrique,Hydrochloric acid,,Class D1A - Very toxic material causing immediate and serious toxic effects,Non requise,
Acide chlorhydrique,Hydrochloric acid,,Class E - Corrosive materials,Non requise,
"Acide chlorhydrique en solution aqueuse 0,036 %",Hydrochloric acid 0.036 % in aqueous solution,,Class E - Corrosive materials,Non requise,
"Acide chlorhydrique en solution aqueuse 0,36 %",Hydrochloric acid 0.36 % in aqueous solution,,Class E - Corrosive materials,Non requise,
Acide chlorhydrique en solution aqueuse 28 %,Hydrochloric acid 28 % in aqueous solution,,Class D1B - Toxic material causing immediate and serious toxic effects,Non requise,
Acide chlorhydrique en solution aqueuse 28 %,Hydrochloric acid 28 % in aqueous solution,,Class E - Corrosive materials,Non requise,
"Acide chlorhydrique en solution aqueuse 3,6 %",Hydrochloric acid 3.6 % in aqueous solution,,Class E - Corrosive materials,Non requise,
"Acide chlorhydrique en solution aqueuse 31,45 %",Hydrochloric acid 31.45 % in aqueous solution,,Class D1A - Very toxic material causing immediate and serious toxic effects,Non requise,
"Acide chlorhydrique en solution aqueuse 31,45 %",Hydrochloric acid 31.45 % in aqueous solution,,Class E - Corrosive materials,Non requise,
"Acide chlorhydrique en solution aqueuse 35,2 %","Hydrochloric acid 35,2 % in aqueous solution",,Class D1A - Very toxic material causing immediate and serious toxic effects,Non requise,
"Acide chlorhydrique en solution aqueuse 35,2 %","Hydrochloric acid 35,2 % in aqueous solution",,Class E - Corrosive materials,Non requise,
Acide chlorique,Chloric acid,7790-93-4,Classification not available,"1,0%",
Acide chloro-2 benzoïque,2-Chlorobenzoic acid,118-91-2,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acide chloro-3 benzoïque,3-Chlorobenzoic acid,535-80-8,Not controlled product,Non requise,
Acide chloro-3 propionique,3-Chloropropionic acid,107-94-8,Class E - Corrosive materials,"1,0%",
Acide chloro-4 benzoïque,4-Chlorobenzoic acid,74-11-3,Not controlled product,Non requise,
Acide chlorosulfonique,Chlorosulfonic acid,7790-94-5,Classification not available,"1,0%",
Acide chromique,Chromic acid,7738-94-5,Class C - Oxidizing materials,"0,1%",
Acide chromique,Chromic acid,7738-94-5,Class D1A - Very toxic material causing immediate and serious toxic effects,"0,1%",
Acide chromique,Chromic acid,7738-94-5,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acide chromique,Chromic acid,7738-94-5,Class D2B - Toxic material causing other toxic effects,"0,1%",
Acide chromique,Chromic acid,7738-94-5,Class E - Corrosive materials,"0,1%",
Acide cinnamique,Cinnamic acid,621-82-9,Not controlled product,Non requise,
Acide cinnamique (trans-),trans-Cinnamic acid,140-10-3,Not controlled product,Non requise,
Acide citrique,Citric acid,77-92-9,Class E - Corrosive materials,"1,0%",
Acide citrique 40%,Citric acid 40%,,Class E - Corrosive materials,Non requise,
Acide citrique monohydraté,Citric acid monohydrate,5949-29-1,Class E - Corrosive materials,"1,0%",
Acide cyanurique,Cyanuric acid,108-80-5,Not controlled product,"1,0%","La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
"Acide cyclohexanediamine-1,2 tétraacétique","1,2-Diaminocyclohexanetetraacetic acid",482-54-2,Not controlled product,Non requise,
"Acide cyclohexanediamine-1,2 tétraacétique (trans-)","trans-1,2-Diaminocyclohexanetetraacetic acid",13291-61-7,Not controlled product,Non requise,
Acide déhydroacétique,Dehydroacetic acid,520-45-6,Not controlled product,Non requise,
Acide déhydrocholique,Dehydrocholic acid,81-23-2,Not controlled product,Non requise,
Acide d'éthylsulfurique,Ethylsulphuric acid,540-82-9,Classification not available,"1,0%",
Acide di(2-éthylhexyl)phosphorique,Di(2-ethylhexyl)phosphoric acid,298-07-7,Classification not available,"1,0%",
Acide dichloroacétique,Dichloroacetic acid,79-43-6,Class D1B - Toxic material causing immediate and serious toxic effects,"0,1%",
Acide dichloroacétique,Dichloroacetic acid,79-43-6,Class D2A - Very toxic material causing other toxic effects,"0,1%",
Acide dichloroacétique,Dichloroacetic acid,79-43-6,Class E - Corrosive materials,"0,1%",
Acide diéthylènetriaminepentaméthylènephosphonique,Diethylenetriaminepenta(methylenephosphonic) acid,15827-60-8,Not controlled product,Non requise,
Acide difluorophosphorique,Difluorophosphoric acid,13779-41-4,Classification not available,"1,0%",
"Acide dinitro-3,5 benzoïque","3,5-Dinitrobenzoic acid",99-34-3,Not controlled product,Non requise,
Acide dodécamolybdophosphorique,Dodecamolybdophosphoric acid,12026-57-2,Not controlled product,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique tungstène, composés, n.s.a (non spécifié autrement).  La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Acide éthyl-2 hexanoïque,2-Ethylhexanoic acid,149-57-5,Class E - Corrosive materials,"1,0%",
Acide éthylènediaminetétraacétique,Ethylenediaminetetraacetic acid,60-00-4,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acide fluorhydrique 40 %,Hydrofluoric acid 40 %,,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Acide fluorhydrique 40 %,Hydrofluoric acid 40 %,,Class D2A - Very toxic material causing other toxic effects,"1,0%",
Acide fluorhydrique 40 %,Hydrofluoric acid 40 %,,Class E - Corrosive materials,"1,0%",
Acide fluorhydrique 50%,Hydrofluoric acid 50%,,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Acide fluorhydrique 50%,Hydrofluoric acid 50%,,Class D2A - Very toxic material causing other toxic effects,"1,0%",
Acide fluorhydrique 50%,Hydrofluoric acid 50%,,Class E - Corrosive materials,"1,0%",
Acide fluorhydrique 70%,Hydrofluoric acid 70%,,Class D1B - Toxic material causing immediate and serious toxic effects,"1,0%",
Acide fluorhydrique 70%,Hydrofluoric acid 70%,,Class D2A - Very toxic material causing other toxic effects,"1,0%",
Acide fluorhydrique 70%,Hydrofluoric acid 70%,,Class E - Corrosive materials,"1,0%",
Acide fluorosilicique,Silicofluoric acid,16961-83-4,Classification not available,"1,0%",
Acide fluorosulfonique,Fluorosulfonic acid,7789-21-1,Class E - Corrosive materials,"1,0%",
Acide fluorosulfonique,Fluorosulfonic acid,7789-21-1,Class F - Dangerously reactive materials,"1,0%",
Acide fluorozirconique,Fluorozirconic acid,12021-95-3,Class D2B - Toxic material causing other toxic effects,"1,0%",
Acide folique,Folic acid,59-30-3,Not controlled product,Non requise,
Acide formique,Formic acid,64-18-6,Class B3 - Combustible liquids,"1,0%",
Acide formique,Formic acid,64-18-6,Class E - Corrosive materials,"1,0%",
Acide formique 80%,Formic acid 80%,,Class E - Corrosive materials,Non requise,
Acide formique 85%,Formic acid 85%,,Class B3 - Combustible liquids,Non requise,
Acide formique 85%,Formic acid 85%,,Class E - Corrosive materials,Non requise,
Acide formique 90%,Formic acid 90%,,Class B3 - Combustible liquids,Non requise,
Acide formique 90%,Formic acid 90%,,Class E - Corrosive materials,Non requise,
Acide fulminique,Fulminic acid,506-85-4,Class F - Dangerously reactive materials,"1,0%",
Acide fumarique,Fumaric acid,110-17-8,Classification not available,"1,0%",
Acide gluconique,Gluconic acid,526-95-4,Not controlled product,Non requise,
Acide glutamique (d-),d-Glutamic acid,6893-26-1,Not controlled product,Non requise,
Acide glutamique (dl-),dl-Glutamic acid,617-65-2,Not controlled product,Non requise,
Acide glutamique (l-),l-Glutamic acid,56-86-0,Not controlled product,Non requise,
"Acide glutamique (l-), chlorhydrate d'",l-Glutamic acid hydrochloride,138-15-8,Not controlled product,Non requise,
Acide glutarique,Glutaric acid,110-94-1,Class E - Corrosive materials,"1,0%",
Acide glycérophosphorique,Glycerophosphoric acid,27082-31-1,Not controlled product,Non requise,
Acide glycolique,Glycolic acid,79-14-1,Class E - Corrosive materials,"1,0%",
