Peroxyde d'hydrogène 85%,Hydrogen peroxide 85%,,"C, D1B, E, F",Non requise,
Peroxyde d'hydrogène 90%,Hydrogen peroxide 90%,,"C, D1B, E, F",Non requise,
Peroxyde d'hydrogène 95%,Hydrogen peroxide 95%,,"C, D1B, E, F",Non requise,
Sulfate d'ammonium cobalteux hexahydraté,Cobaltous ammonium sulfate hexahydrate,,"D2A, D2B","0,1%",
Sulfate de zirconium tétrahydraté,Zirconium sulfate tetrahydrate,,Produit non contrôlé,"1,0%","Ce produit est inscrit sur la Liste de divulgation des ingrédients sous la dénomination chimique zirconium, composés, n.s.a (non spécifié autrement). La dénomination chimique et la concentration de cet ingrédient doivent être divulgués sur la fiche signalétique s'il est présent à une concentration égale ou supérieure à 1,0 % dans un produit contrôlé."
Tellure de bismuth (dopé en Se),Bismuth telluride (doped with se),,B6,"1,0%",
Tétrachlorure de platine pentahydraté,Platinum tetrachloride pentahydrate,,D2B,"0,1%",
Thiosulfate d'ammonium 60%,Ammonium thiosulfate 60%,,Produit non contrôlé,Non requise,
"Thiosulfate de sodium 0,079% (0,01N)","Sodium thiosulfate 0,079% (0,01N)",,Produit non contrôlé,Non requise,
"Thiosulfate de sodium 0,79% (0,1N)","Sodium thiosulfate 0,79% (0,1N)",,Produit non contrôlé,Non requise,
"Thiosulfate de sodium 7,9% (1N)","Sodium thiosulfate 7,9% (1N)",,Produit non contrôlé,Non requise,
Trichlorure de lanthane 10%,Lanthanum chloride 10%,,Produit non contrôlé,Non requise,
